SYMBOL,NAME OF COMPANY
INDUSINDBK,IndusInd Bank Limited
INDUSTOWER,Indus Towers Limited
INEOSSTYRO,INEOS Styrolution India Limited
INFIBEAM,Infibeam Avenues Limited
INFOBEAN,InfoBeans Technologies Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INOXLEISUR,INOX Leisure Limited
INOXWIND,Inox Wind Limited
INSECTICID,Insecticides (India) Limited
INSPIRISYS,Inspirisys Solutions Limited
INTELLECT,Intellect Design Arena Limited
INTENTECH,Intense Technologies Limited
INVENTURE,Inventure Growth & Securities Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
IPCALAB,IPCA Laboratories Limited
IPL,India Pesticides Limited
IRB,IRB Infrastructure Developers Limited
IRCON,Ircon International Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
IRFC,Indian Railway Finance Corporation Limited
IRISDOREME,Iris Clothings Limited
ISEC,ICICI Securities Limited
ISFT,Intrasoft Technologies Limited
ISGEC,Isgec Heavy Engineering Limited
ISMTLTD,ISMT Limited
ITC,ITC Limited
ITDC,India Tourism Development Corporation Limited
ITDCEM,ITD Cementation India Limited
ITI,ITI Limited
IVC,IL&FS Investment Managers Limited
IVP,IVP Limited
IWEL,Inox Wind Energy Limited
IZMO,IZMO Limited
J&KBANK,The Jammu & Kashmir Bank Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAINSTUDIO,Jain Studios Limited
JAMNAAUTO,Jamna Auto Industries Limited
JASH,Jash Engineering Limited
JAYAGROGN,Jayant Agro Organics Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYNECOIND,Jayaswal Neco Industries Limited
JAYSREETEA,Jayshree Tea & Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
JBFIND,JBF Industries Limited
JBMA,JBM Auto Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
JETAIRWAYS,Jet Airways (India) Limited
JHS,JHS Svendgaard Laboratories Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
JINDALSAW,Jindal Saw Limited
JINDALSTEL,Jindal Steel & Power Limited
JINDRILL,Jindal Drilling And Industries Limited
JINDWORLD,Jindal Worldwide Limited
JISLDVREQS,Jain Irrigation Systems Limited
JISLJALEQS,Jain Irrigation Systems Limited
JITFINFRA,JITF Infralogistics Limited
JIYAECO,Jiya Eco-Products Limited
JKCEMENT,JK Cement Limited
JKIL,J.Kumar Infraprojects Limited
JKLAKSHMI,JK Lakshmi Cement Limited
JKPAPER,JK Paper Limited
JKTYRE,JK Tyre & Industries Limited
JMA,Jullundur Motor Agency (Delhi) Limited
JMCPROJECT,JMC Projects (India)  Limited
JMFINANCIL,JM Financial Limited
JMTAUTOLTD,JMT Auto Limited
JOCIL,Jocil Limited
JPASSOCIAT,Jaiprakash Associates Limited
JPINFRATEC,Jaypee Infratech Limited
JPPOWER,Jaiprakash Power Ventures Limited
JSL,Jindal Stainless Limited
JSLHISAR,Jindal Stainless (Hisar) Limited
JSWENERGY,JSW Energy Limited
JSWHL,JSW Holdings Limited
JSWISPL,JSW Ispat Special Products Limited
JSWSTEEL,JSW Steel Limited
JTEKTINDIA,Jtekt India Limited
JUBLFOOD,Jubilant Foodworks Limited
JUBLINDS,Jubilant Industries Limited
JUBLINGREA,Jubilant Ingrevia Limited
JUBLPHARMA,Jubilant Pharmova Limited
JUMPNET,Jump Networks Limited
JUSTDIAL,Just Dial Limited
JYOTHYLAB,Jyothy Labs Limited
JYOTISTRUC,Jyoti Structures Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
KAJARIACER,Kajaria Ceramics Limited
KAKATCEM,Kakatiya Cement Sugar & Industries Limited
KALPATPOWR,Kalpataru Power Transmission Limited
KALYANI,Kalyani Commercials Limited
KALYANIFRG,Kalyani Forge Limited
KALYANKJIL,Kalyan Jewellers India Limited
KAMATHOTEL,Kamat Hotels (I) Limited
KAMDHENU,Kamdhenu Limited
KANANIIND,Kanani Industries Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
KANPRPLA,Kanpur Plastipack Limited
KANSAINER,Kansai Nerolac Paints Limited
KAPSTON,Kapston Facilities Management Limited
KARDA,Karda Constructions Limited
KARMAENG,Karma Energy Limited
KARURVYSYA,Karur Vysya Bank Limited
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
KAVVERITEL,Kavveri Telecom Products Limited
KAYA,Kaya Limited
KCP,KCP Limited
KCPSUGIND,KCP Sugar and Industries Corporation Limited
KDDL,KDDL Limited
KEC,KEC International Limited
KECL,Kirloskar Electric Company Limited
KEERTI,Keerti Knowledge and Skills Limited
KEI,KEI Industries Limited
KELLTONTEC,Kellton Tech Solutions Limited
KENNAMET,Kennametal India Limited
KERNEX,Kernex Microsystems (India) Limited
KESORAMIND,Kesoram Industries Limited
KEYFINSERV,Keynote Financial Services Limited
KHADIM,Khadim India Limited
KHAICHEM,Khaitan Chemicals & Fertilizers Limited
KHANDSE,Khandwala Securities Limited
KICL,Kalyani Investment Company Limited
KILITCH,Kilitch Drugs (India) Limited
KIMS,Krishna Institute of Medical Sciences Limited
KINGFA,Kingfa Science & Technology (India) Limited
KIOCL,KIOCL Limited
KIRIINDUS,Kiri Industries Limited
KIRLFER,Kirloskar Ferrous Industries Ltd
KIRLOSBROS,Kirloskar Brothers Limited
KIRLOSENG,Kirloskar Oil Engines Limited
KIRLOSIND,Kirloskar Industries Limited
KITEX,Kitex Garments Limited
KKCL,Kewal Kiran Clothing Limited
KMSUGAR,K.M.Sugar Mills Limited
KNRCON,KNR Constructions Limited
KOKUYOCMLN,Kokuyo Camlin Limited
KOLTEPATIL,Kolte - Patil Developers Limited
KOPRAN,Kopran Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KOTARISUG,Kothari Sugars And Chemicals Limited
KOTHARIPET,Kothari Petrochemicals Limited
KOTHARIPRO,Kothari Products Limited
KOVAI,Kovai Medical Center and Hospital Limited
KPIGLOBAL,K.P.I. Global Infrastructure Limited
KPITTECH,KPIT Technologies Limited
KPRMILL,K.P.R. Mill Limited
KRBL,KRBL Limited
KREBSBIO,Krebs Biochemicals and Industries Limited
KRIDHANINF,Kridhan Infra Limited
KRISHANA,Krishana Phoschem Limited
KSB,Ksb Limited
KSCL,Kaveri Seed Company Limited
KSL,Kalyani Steels Limited
KTKBANK,The Karnataka Bank Limited
KUANTUM,Kuantum Papers Limited
L&TFH,L&T Finance Holdings Limited
LAKPRE,Lakshmi Precision Screws Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
LAMBODHARA,Lambodhara Textiles Limited
LAOPALA,La Opala RG Limited
LASA,Lasa Supergenerics Limited
LAURUSLABS,Laurus Labs Limited
LAXMIMACH,Lakshmi Machine Works Limited
LCCINFOTEC,LCC Infotech Limited
LEMONTREE,Lemon Tree Hotels Limited
LFIC,Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD,LG Balakrishnan & Bros Limited
LGBFORGE,LGB Forge Limited
LIBAS,Libas Consumer Products Limited
LIBERTSHOE,Liberty Shoes Limited
LICHSGFIN,LIC Housing Finance Limited
LIKHITHA,Likhitha Infrastructure Limited
LINCOLN,Lincoln Pharmaceuticals Limited
LINCPEN,Linc Pen & Plastics Limited
LINDEINDIA,Linde India Limited
LODHA,Macrotech Developers Limited
LOKESHMACH,Lokesh Machines Limited
LOTUSEYE,Lotus Eye Hospital and Institute Limited
LOVABLE,Lovable Lingerie Limited
LPDC,Landmark Property Development Company Limited
LSIL,Lloyds Steels Industries Limited
LT,Larsen & Toubro Limited
LTI,Larsen & Toubro Infotech Limited
LTTS,L&T Technology Services Limited
LUMAXIND,Lumax Industries Limited
LUMAXTECH,Lumax Auto Technologies Limited
LUPIN,Lupin Limited
LUXIND,Lux Industries Limited
LXCHEM,Laxmi Organic Industries Limited
LYKALABS,Lyka Labs Limited
LYPSAGEMS,Lypsa Gems & Jewellery Limited
M&M,Mahindra & Mahindra Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
MAANALU,Maan Aluminium Limited
MACPOWER,Macpower CNC Machines Limited
MADHAV,Madhav Marbles and Granites Limited
MADHUCON,Madhucon Projects Limited
MADRASFERT,Madras Fertilizers Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
MAGNUM,Magnum Ventures Limited
MAHABANK,Bank of Maharashtra
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
MAHASTEEL,Mahamaya Steel Industries Limited
MAHEPC,Mahindra EPC Irrigation Limited
MAHESHWARI,Maheshwari Logistics Limited
MAHINDCIE,Mahindra CIE Automotive Limited
MAHLIFE,Mahindra Lifespace Developers Limited
MAHLOG,Mahindra Logistics Limited
MAHSCOOTER,Maharashtra Scooters Limited
MAHSEAMLES,Maharashtra Seamless Limited
MAITHANALL,Maithan Alloys Limited
MAJESCO,Majesco Limited
MALUPAPER,Malu Paper Mills Limited
MANAKALUCO,Manaksia Aluminium Company Limited
MANAKCOAT,Manaksia Coated Metals & Industries Limited
MANAKSIA,Manaksia Limited
MANAKSTEEL,Manaksia Steels Limited
MANALIPETC,Manali Petrochemicals Limited
MANAPPURAM,Manappuram Finance Limited
MANGALAM,Mangalam Drugs And Organics Limited
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
MANGLMCEM,Mangalam Cement Limited
MANGTIMBER,Mangalam Timber Products Limited
MANINDS,Man Industries (India) Limited
MANINFRA,Man Infraconstruction Limited
MANUGRAPH,Manugraph India Limited
MARALOVER,Maral Overseas Limited
MARATHON,Marathon Nextgen Realty Limited
MARICO,Marico Limited
MARINE,Marine Electricals (India) Limited
MARKSANS,Marksans Pharma Limited
MARUTI,Maruti Suzuki India Limited
MASFIN,MAS Financial Services Limited
MASKINVEST,Mask Investments Limited
MASTEK,Mastek Limited
MATRIMONY,Matrimony.Com Limited
MAWANASUG,Mawana Sugars Limited
MAXHEALTH,Max Healthcare Institute Limited
MAXIND,Max India Limited
MAXVIL,Max Ventures and Industries Limited
MAYURUNIQ,Mayur Uniquoters Ltd
MAZDA,Mazda Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
MBAPL,Madhya Bharat Agro Products Limited
MBECL,Mcnally Bharat Engineering Company Limited
MBLINFRA,MBL Infrastructures Limited
MCDHOLDING,McDowell Holdings Limited
MCDOWELL-N,United Spirits Limited
MCL,Madhav Copper Limited
MCLEODRUSS,Mcleod Russel India Limited
MCX,Multi Commodity Exchange of India Limited
MEGASOFT,Megasoft Limited
MELSTAR,Melstar Information Technologies Limited
MENONBE,Menon Bearings Limited
MEP,MEP Infrastructure Developers Limited
MERCATOR,Mercator Limited
METALFORGE,Metalyst Forgings Limited
METROPOLIS,Metropolis Healthcare Limited
MFSL,Max Financial Services Limited
MGEL,Mangalam Global Enterprise Limited
MGL,Mahanagar Gas Limited
MHRIL,Mahindra Holidays & Resorts India Limited
MIDHANI,Mishra Dhatu Nigam Limited
MINDACORP,Minda Corporation Limited
MINDAIND,Minda Industries Limited
MINDTECK,Mindteck (India) Limited
MINDTREE,MindTree Limited
MIRCELECTR,MIRC Electronics Limited
MIRZAINT,Mirza International Limited
MITTAL,Mittal Life Style Limited
MMFL,MM Forgings Limited
MMP,MMP Industries Limited
MMTC,MMTC Limited
MODIRUBBER,Modi Rubber Limited
MODISNME,Modison Metals Limited
MOHITIND,Mohit Industries Limited
MOHOTAIND,Mohota Industries Limited
MOIL,MOIL Limited
MOKSH,Moksh Ornaments Limited
MOLDTECH,Mold-Tek Technologies Limited
MOLDTKPAC,Mold-Tek Packaging Limited
MONTECARLO,Monte Carlo Fashions Limited
MORARJEE,Morarjee Textiles Limited
MOREPENLAB,Morepen Laboratories Limited
MOTHERSUMI,Motherson Sumi Systems Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
MOTOGENFIN,The Motor & General Finance Limited
MPHASIS,MphasiS Limited
MPSLTD,MPS Limited
MRF,MRF Limited
MRO-TEK,MRO-TEK Realty Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
MSPL,MSP Steel & Power Limited
MSTCLTD,Mstc Limited
MTARTECH,Mtar Technologies Limited
MTEDUCARE,MT Educare Limited
MTNL,Mahanagar Telephone Nigam Limited
MUKANDLTD,Mukand Limited
MUKTAARTS,Mukta Arts Limited
MUNJALAU,Munjal Auto Industries Limited
MUNJALSHOW,Munjal Showa Limited
MURUDCERA,Murudeshwar Ceramics Limited
MUTHOOTCAP,Muthoot Capital Services Limited
MUTHOOTFIN,Muthoot Finance Limited
NACLIND,NACL Industries Limited
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NAGREEKEXP,Nagreeka Exports Limited
NAHARCAP,Nahar Capital and Financial Services Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
NAHARPOLY,Nahar Poly Films Limited
NAHARSPING,Nahar Spinning Mills Limited
NAM-INDIA,Nippon Life India Asset Management Limited
NATCOPHARM,Natco Pharma Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
NATIONALUM,National Aluminium Company Limited
NATNLSTEEL,National Steel And Agro Industries Limited
NAUKRI,Info Edge (India) Limited
NAVINFLUOR,Navin Fluorine International Limited
NAVKARCORP,Navkar Corporation Limited
NAVNETEDUL,Navneet Education Limited
NAZARA,Nazara Technologies Limited
NBCC,NBCC (India) Limited
NBIFIN,N. B. I. Industrial Finance Company Limited
NBVENTURES,Nava Bharat Ventures Limited
NCC,NCC Limited
NCLIND,NCL Industries Limited
NDGL,Naga Dhunseri Group Limited
NDL,Nandan Denim Limited
NDRAUTO,Ndr Auto Components Limited
NDTV,New Delhi Television Limited
NECCLTD,North Eastern Carrying Corporation Limited
NECLIFE,Nectar Lifesciences Limited
NELCAST,Nelcast Limited
NELCO,NELCO Limited
NEOGEN,Neogen Chemicals Limited
NESCO,Nesco Limited
NESTLEIND,Nestle India Limited
NETWORK18,Network18 Media & Investments Limited
NEULANDLAB,Neuland Laboratories Limited
NEWGEN,Newgen Software Technologies Limited
NEXTMEDIA,Next Mediaworks Limited
NFL,National Fertilizers Limited
NH,Narayana Hrudayalaya Ltd.
NHPC,NHPC Limited
NIACL,The New India Assurance Company Limited
NIBL,NRB Industrial Bearings Limited
NIITLTD,NIIT Limited
NILAINFRA,Nila Infrastructures Limited
NILASPACES,Nila Spaces Limited
NILKAMAL,Nilkamal Limited
NIPPOBATRY,Indo-National Limited
NIRAJ,Niraj Cement Structurals Limited
NIRAJISPAT,Niraj Ispat Industries Limited
NITCO,Nitco Limited
NITINFIRE,Nitin Fire Protection Industries Limited
NITINSPIN,Nitin Spinners Limited
NITIRAJ,Nitiraj Engineers Limited
NKIND,NK Industries Limited
NLCINDIA,NLC India Limited
NMDC,NMDC Limited
NOCIL,NOCIL Limited
NOIDATOLL,Noida Toll Bridge Company Limited
NORBTEAEXP,Norben Tea & Exports Limited
NOVARTIND,Novartis India Limited
NRAIL,N R Agarwal Industries Limited
NRBBEARING,NRB Bearing Limited
NSIL,Nalwa Sons Investments Limited
NTL,Neueon Towers Limited
NTPC,NTPC Limited
NUCLEUS,Nucleus Software Exports Limited
NURECA,Nureca Limited
NXTDIGITAL,NXTDIGITAL LIMITED
OAL,Oriental Aromatics Limited
OBEROIRLTY,Oberoi Realty Limited
OCCL,Oriental Carbon & Chemicals Limited
OFSS,Oracle Financial Services Software Limited
OIL,Oil India Limited
OILCOUNTUB,Oil Country Tubular Limited
OLECTRA,Olectra Greentech Limited
OMAXAUTO,Omax Autos Limited
OMAXE,Omaxe Limited
OMINFRAL,OM INFRA LIMITED
OMKARCHEM,Omkar Speciality Chemicals Limited
ONELIFECAP,Onelife Capital Advisors Limited
ONEPOINT,One Point One Solutions Limited
ONGC,Oil & Natural Gas Corporation Limited
ONMOBILE,OnMobile Global Limited
ONWARDTEC,Onward Technologies Limited
OPTIEMUS,Optiemus Infracom Limited
OPTOCIRCUI,Opto Circuits (India) Limited
ORBTEXP,Orbit Exports Limited
ORCHPHARMA,Orchid Pharma Limited
ORICONENT,Oricon Enterprises Limited
ORIENTABRA,Orient Abrasives Limited
ORIENTALTL,Oriental Trimex Limited
ORIENTBELL,Orient Bell Limited
ORIENTCEM,Orient Cement Limited
ORIENTELEC,Orient Electric Limited
ORIENTHOT,Oriental Hotels Limited
ORIENTLTD,Orient Press Limited
ORIENTPPR,Orient Paper & Industries Limited
ORISSAMINE,The Orissa Minerals Development Company Limited
ORTEL,Ortel Communications Limited
ORTINLAB,Ortin Laboratories Limited
OSWALAGRO,Oswal Agro Mills Limited
PAEL,PAE Limited
PAGEIND,Page Industries Limited
PAISALO,Paisalo Digital Limited
PALASHSECU,Palash Securities Limited
PALREDTEC,Palred Technologies Limited
PANACEABIO,Panacea Biotec Limited
PANACHE,Panache Digilife Limited
PANAMAPET,Panama Petrochem Limited
PARACABLES,Paramount Communications Limited
PARAGMILK,Parag Milk Foods Limited
PARSVNATH,Parsvnath Developers Limited
PATELENG,Patel Engineering Limited
PATINTLOG,Patel Integrated Logistics Limited
PATSPINLTD,Patspin India Limited
PBAINFRA,PBA Infrastructure Limited
PCJEWELLER,PC Jeweller Limited
PDMJEPAPER,Pudumjee Paper Products Limited
PDSMFL,PDS Multinational Fashions Limited
PEARLPOLY,Pearl Polymers Limited
PEL,Piramal Enterprises Limited
PENIND,Pennar Industries Limited
PENINLAND,Peninsula Land Limited
PERSISTENT,Persistent Systems Limited
PETRONET,Petronet LNG Limited
PFC,Power Finance Corporation Limited
PFIZER,Pfizer Limited
PFOCUS,Prime Focus Limited
PFS,PTC India Financial Services Limited
PGEL,PG Electroplast Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
PGHL,Procter & Gamble Health Limited
PGIL,Pearl Global Industries Limited
PHILIPCARB,Phillips Carbon Black Limited
PHOENIXLTD,The Phoenix Mills Limited
PIDILITIND,Pidilite Industries Limited
PIIND,PI Industries Limited
PILANIINVS,Pilani Investment and Industries Corporation Limited
PILITA,PIL ITALICA LIFESTYLE LIMITED
PIONDIST,Pioneer Distilleries Limited
PIONEEREMB,Pioneer Embroideries Limited
PITTIENG,Pitti Engineering Limited
PKTEA,The Peria Karamalai Tea & Produce Company Limited
PLASTIBLEN,Plastiblends India Limited
PNB,Punjab National Bank
PNBGILTS,PNB Gilts Limited
PNBHOUSING,PNB Housing Finance Limited
PNC,Pritish Nandy Communications Limited
PNCINFRA,PNC Infratech Limited
PODDARHOUS,Poddar Housing and Development Limited
PODDARMENT,Poddar Pigments Limited
POKARNA,Pokarna Limited
POLYCAB,Polycab India Limited
POLYMED,Poly Medicure Limited
POLYPLEX,Polyplex Corporation Limited
PONNIERODE,Ponni Sugars (Erode) Limited
POONAWALLA,Poonawalla Fincorp Limited
POWERGRID,Power Grid Corporation of India Limited
POWERINDIA,ABB Power Products and Systems India Limited
POWERMECH,Power Mech Projects Limited
PPAP,PPAP Automotive Limited
PPL,Prakash Pipes Limited
PRAENG,Prajay Engineers Syndicate Limited
PRAJIND,Praj Industries Limited
PRAKASH,Prakash Industries Limited
PRAKASHSTL,Prakash Steelage Limited
PRAXIS,Praxis Home Retail Limited
PRECAM,Precision Camshafts Limited
PRECOT,Precot Limited
PRECWIRE,Precision Wires India Limited
PREMEXPLN,Premier Explosives Limited
PREMIER,Premier Limited
PREMIERPOL,Premier Polyfilm Limited
PRESSMN,Pressman Advertising Limited
PRESTIGE,Prestige Estates Projects Limited
PRICOLLTD,Pricol Limited
PRIMESECU,Prime Securities Limited
PRINCEPIPE,Prince Pipes And Fittings Limited
PRITIKAUTO,Pritika Auto Industries Limited
PRIVISCL,Privi Speciality Chemicals Limited
PROINDIA,Proseed India Limited
PROZONINTU,Prozone Intu Properties Limited
PRSMJOHNSN,Prism Johnson Limited
PSB,Punjab & Sind Bank
PSPPROJECT,PSP Projects Limited
PTC,PTC India Limited
PTL,PTL Enterprises Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
PUNJLLOYD,Punj Lloyd Limited
PURVA,Puravankara Limited
PVP,PVP Ventures Limited
PVR,PVR Limited
QUESS,Quess Corp Limited
QUICKHEAL,Quick Heal Technologies Limited
RADAAN,Radaan Mediaworks India Limited
RADICO,Radico Khaitan Limited
RADIOCITY,Music Broadcast Limited
RAILTEL,Railtel Corporation Of India Limited
RAIN,Rain Industries Limited
RAJESHEXPO,Rajesh Exports Limited
RAJMET,Rajnandini Metal Limited
RAJRATAN,Rajratan Global Wire Limited
RAJRAYON,Raj Rayon Industries Limited
RAJSREESUG,Rajshree Sugars & Chemicals Limited
RAJTV,Raj Television Network Limited
RALLIS,Rallis India Limited
RAMANEWS,Shree Rama Newsprint Limited
RAMASTEEL,Rama Steel Tubes Limited
RAMCOCEM,The Ramco Cements Limited
RAMCOIND,Ramco Industries Limited
RAMCOSYS,Ramco Systems Limited
RAMKY,Ramky Infrastructure Limited
RANASUG,Rana Sugars Limited
RANEENGINE,Rane Engine Valve Limited
RANEHOLDIN,Rane Holdings Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
RAYMOND,Raymond Limited
RBL,Rane Brake Lining Limited
RBLBANK,RBL Bank Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
RCOM,Reliance Communications Limited
RECLTD,REC Limited
REDINGTON,Redington (India) Limited
REFEX,Refex Industries Limited
RELAXO,Relaxo Footwears Limited
RELCAPITAL,Reliance Capital Limited
RELIANCE,Reliance Industries Limited
RELIGARE,Religare Enterprises Limited
RELINFRA,Reliance Infrastructure Limited
REMSONSIND,Remsons Industries Limited
RENUKA,Shree Renuka Sugars Limited
REPCOHOME,Repco Home Finance Limited
REPL,Rudrabhishek Enterprises Limited
REPRO,Repro India Limited
RESPONIND,Responsive Industries Limited
REVATHI,Revathi Equipment Limited
RGL,Renaissance Global Limited
RHFL,Reliance Home Finance Limited
RHIM,RHI MAGNESITA INDIA LIMITED
RICOAUTO,Rico Auto Industries Limited
RIIL,Reliance Industrial Infrastructure Limited
RITES,RITES Limited
RKDL,Ravi Kumar Distilleries Limited
RKEC,RKEC Projects Limited
RKFORGE,Ramkrishna Forgings Limited
RMCL,Radha Madhav Corporation Limited
RML,Rane (Madras) Limited
RNAVAL,Reliance Naval and Engineering Limited
ROHLTD,Royal Orchid Hotels Limited
ROLEXRINGS,Rolex Rings Limited
ROLLT,Rollatainers Limited
ROLTA,Rolta India Limited
ROML,Raj Oil Mills Limited
ROSSARI,Rossari Biotech Limited
ROSSELLIND,Rossell India Limited
ROUTE,ROUTE MOBILE LIMITED
RPGLIFE,RPG Life Sciences Limited
RPOWER,Reliance Power Limited
RPPINFRA,R.P.P. Infra Projects Limited
